time_sec,tof_pos_mm_1,tof_pos_mm_2,tof_pos_mm_3,reel_radians_1,reel_radians_2,reel_radians_3,reel_lin_mm_1,reel_lin_mm_2,reel_lin_mm_3,press_psi_1,press_psi_2,press_psi_3,flow_lpm_1,flow_lpm_2,flow_lpm_3,supply_psi,fric_level,inertia_level,hash
0,423.749193,0,0,0,0,0,-52.41,0,0,0.128959285714284,6.69185715531388,129.410179621233,0.569196428571429,60.5043729809102,1041.99845153752,4.09702674908425,med,lo,0301703c
0.0159149,423.749193,0,0,0,0,0,-52.41,0,0,0.29077357142857,9.65610409351443,143.425381594428,1.77176339285714,83.7124620545776,1134.41148467972,4.09702674908425,med,lo,0301703c
0.0316181,423.749193,0,0,0,0,0,-52.41,0,0,0.522402142857141,12.7995764637543,145.04411853392,4.59263392857143,106.920551128245,1084.42359649302,4.09702674908425,med,lo,0301703c
0.0473913,423.749193,0,0,0,0,0,-52.41,0,0,0.824216428571427,16.1913858227823,134.075617474844,7.44419642857143,128.812834565282,713.664721012329,4.09702674908425,med,lo,0301703c
0.0632847,423.749193,0,0,0,0,0,-52.41,0,0,1.18887357142857,18.6761495571862,110.140221328707,10.2985491071429,144.126089819168,336.818759516286,4.09702674908425,med,lo,0301703c
0.0790085,423.749193,0,0,0,0,0,-52.41,0,0,1.589745,20.1911445734459,74.3797346228411,13.1529017857143,147.778584776021,-40.5805734356973,4.09702674908425,med,lo,0301703c
0.09504,423.749193,0,0,0,0,0,-52.41,0,0,2.026645,20.7269624075337,32.1697995156981,15.9263392857143,125.11496700027,-417.979906387681,4.09702674908425,med,lo,0301703c
0.1106938,423.749193,0,0,0,0,0,-52.41,0,0,2.42593071428571,20.2379545858321,-15.6226058652696,18.2952008928571,101.929564230682,-779.331467117367,4.09702674908425,med,lo,0301703c
0.1267349,423.749193,0,0,0,0,0,-52.41,0,0,2.77407357142857,18.8040349756407,-55.5885975837123,19.9469866071429,78.7214751570147,-1060.44416673556,4.09702674908425,med,lo,0301703c
0.1439208,423.749193,0,0,0,0,0,-52.41,0,0,3.07160214285714,16.7561259722153,-85.568285685944,19.98046875,55.5133860833473,-1199.34040217683,4.09702674908425,med,lo,0301703c
0.1640866,423.749193,0,0,0,0,0,-52.41,0,0,3.31327357142857,14.2699683912888,-104.380199978672,19.98046875,32.9631998279949,-1017.28119317214,4.09702674908425,med,lo,0301703c
0.1806812,423.749193,0,0,0,0,0,-52.41,0,0,3.50157357142857,11.8393323635151,-111.925176296991,19.98046875,13.7025276642181,-828.765983848125,4.09702674908425,med,lo,0301703c
0.2038096,423.749193,0,0,0,0,0,-52.41,0,0,3.65057357142857,9.66713871181887,-107.538342525732,19.98046875,0.272235648957972,-640.066317372133,4.09702674908425,med,lo,0301703c
0.2240706,423.749193,0,0,0,0,0,-52.41,0,0,3.78170214285714,7.88928747215987,-96.3375139945929,19.98046875,0,-451.366650896141,4.09702674908425,med,lo,0301703c
0.241063,423.749193,0,0,0,0,0,-52.41,0,0,3.882045,6.47232632799417,-81.5016105042338,19.98046875,0,-268.016241827582,4.09702674908425,med,lo,0301703c
0.2635453,423.749193,0,0,0,0,0,-52.41,0,0,3.96303071428571,5.5779414759509,-64.1478816459139,19.98046875,0,-111.412119796187,4.09702674908425,med,lo,0301703c
0.2839525,423.749193,0,0,0,0,0,-52.41,0,0,4.04190214285714,4.907617452426,-47.854737141765,19.98046875,0,-2.21348582376527,4.09702674908425,med,lo,0301703c
0.2998893,423.749193,0,0,0,0,0,-52.41,0,0,4.10930214285714,4.24612112354465,-35.1910010731276,19.98046875,0,0,4.09702674908425,med,lo,0301703c
0.3163789,423.749193,0,0,0,0,0,-52.41,0,0,4.18760214285714,3.94981258360148,-23.6794581586208,19.98046875,0,0,4.09702674908425,med,lo,0301703c
