time_sec,tof_pos_mm_1,tof_pos_mm_2,tof_pos_mm_3,reel_radians_1,reel_radians_2,reel_radians_3,reel_lin_mm_1,reel_lin_mm_2,reel_lin_mm_3,press_psi_1,press_psi_2,press_psi_3,flow_lpm_1,flow_lpm_2,flow_lpm_3,supply_psi,fric_level,inertia_level,hash
0,242.616344242218,-22.0018874654329,378.292833219687,0,0,0.735767508865573,-66.4891173815509,0,0.429136892696113,0.138225714285712,2.69565444318032,24.5459493182435,0.306919642857143,6.91348071054021,65.1395593547545,4.6259303021978,hi,hi,71e05251
0.0240186,241.874140266402,-20.8686619628426,472.765277629917,0,0.00521477741965042,1.47153501773115,-66.4891173815509,0,7.29514048238467,0.205368571428569,3.28271213734632,22.7438891124123,0.516183035714286,8.57370726110004,49.9990131263521,4.6259303021978,hi,hi,71e05251
0.0403314,241.108655943324,-11.2574582751718,509.179193538102,0,0.0886512161340571,2.38042429338862,-66.4891173815509,0.043143688970505,14.5902560723107,0.288268571428569,3.69671772768227,20.0505338227845,0.739397321428571,9.86224130034051,29.7529338674419,4.6259303021978,hi,hi,71e05251
0.0643751,240.59865027969,2.32327865252524,455.755586199164,0.000523598775598299,0.177302432268114,2.94307003546229,-66.4856473878409,0.733423943093659,23.6017714340468,0.380197142857141,4.0269884290682,15.3618601699974,0.973074776785714,10.0852568071321,7.39422025108023,4.6259303021978,hi,hi,71e05251
0.0807167,240.716261739414,33.2261735531957,291.024003336241,0.00890117918517108,0.286812758080773,3.80867886942179,-66.4301289980809,1.46684538360012,28.7509691936987,0.474282857142855,4.1793351785397,9.87203049933176,1.20675223214286,9.21797428072028,-16.725021996491,4.6259303021978,hi,hi,71e05251
0.1048165,241.84367012682,59.7078029124751,13.0998941347124,0.0178023583703422,0.354604864536228,4.28476372809951,-66.3711408158909,2.372826720877,30.4668213314254,0.560868571428569,4.27707663073228,4.43772649327156,1.416015625,7.85510173921593,-40.8442642440623,4.6259303021978,hi,hi,71e05251
0.1212086,244.237903495585,100.627616268698,-356.884382230697,0.0287979326579064,0.458900412929237,4.84740947017319,-66.2982738539609,2.8905062547766,28.3199887033101,0.647925714285712,4.20531836832298,0.638905699226295,1.54854910714286,6.2939931916746,-61.4424492292144,4.6259303021978,hi,hi,71e05251
0.1451563,247.887410505115,122.848735813294,-773.808689125176,0.0356047167406843,0.521477741965042,5.75629874583066,-66.2531675336109,3.10615478359987,31.7499691760279,0.72646857142857,4.08514611557531,-2.8382989076238,1.60435267857143,4.55942813885089,-70.4211452483833,4.6259303021978,hi,hi,71e05251
0.1617113,252.400224656026,135.796243114966,-1176.50304989232,0.0466002910282486,0.672706287134904,7.66063818054155,-66.1803047985609,3.58060116103806,42.4730458379908,0.80736857142857,3.90732366049598,-4.48676214513092,1.62179129464286,2.82486308602718,-67.9564051646898,4.6259303021978,hi,hi,71e05251
0.185951,256.970760237166,123.536652867418,-1497.32969313762,0.061261056745001,0.870867829081619,9.00233187317877,-66.0831574792009,4.65885897708923,61.7747935484869,0.88016857142857,3.78664392357285,-6.15541653340364,1.62527901785714,1.2141955369766,-59.8579734611258,4.6259303021978,hi,hi,71e05251
0.2023358,260.468247701453,66.7976117362158,-1675.64879732219,0.0853466004225227,1.2098283613589,9.8246602654403,-65.9235675705609,6.64289510803358,75.4985955512944,0.955182857142855,3.62749688615025,-6.11359200681773,1.61481584821429,0.173456505282371,-49.8229602632311,4.6259303021978,hi,hi,71e05251
0.2260535,261.641499591845,1.48806876143171,-1671.07081546997,0.116238928182822,1.43927856782351,9.73809938204435,-65.7188876704109,9.10109435483164,79.7814341439398,1.02424,3.54782187060386,-6.07248859275915,1.60435267857143,-0.346913010564741,-37.6753127078851,4.6259303021978,hi,hi,71e05251
0.2423689,259.405779779761,-127.290021343952,-1471.59202099371,0.15707963267949,1.64265488718988,8.05016215582333,-65.4483150007709,10.6964784766075,67.7615296757568,1.09384,3.410699646396,-5.30883042630245,1.5869140625,-0.569928517356361,-25.8797708787809,4.6259303021978,hi,hi,71e05251
