time_sec,tof_pos_mm_1,tof_pos_mm_2,tof_pos_mm_3,reel_radians_1,reel_radians_2,reel_radians_3,reel_lin_mm_1,reel_lin_mm_2,reel_lin_mm_3,press_psi_1,press_psi_2,press_psi_3,flow_lpm_1,flow_lpm_2,flow_lpm_3,supply_psi,fric_level,inertia_level,hash
0,166.500005254114,-84.8967315239507,-1005.21735851232,0,0,0,-57.9480653855182,0,0,0.126500000000003,1.73389896814384,10.8876639310507,0.3662109375,5.40075547221567,21.8210535278164,3.09774933150183,hi,hi,43690966
0.0162439,163.86782057571,-129.189353058589,-1015.21511576449,0,0,0,-57.9480653855182,0,0,0.170228571428575,1.92010512525415,9.55058239565848,0.495256696428571,5.64849654892281,9.32674062076025,3.09774933150183,hi,hi,43690966
0.0404364,160.214273433171,-160.60625123252,-973.229015010114,0,0,0,-57.9480653855182,0,0,0.212671428571432,2.07739098003398,7.35070485063585,0.627790178571429,5.4503036875571,-3.69550100067859,3.09774933150183,hi,hi,43690966
0.0565171,155.564178203722,-205.101273074656,-884.450972872528,0,0,0,-57.9480653855182,0,0,0.260628571428575,2.1687182505513,5.72890784005233,0.760323660714286,4.78140278044781,-17.2456713365001,3.09774933150183,hi,hi,43690966
0.0805866,150.084550567627,-230.943917681379,-758.38892844261,0,0,0,-57.9480653855182,0,0,0.305142857142861,2.23751812767435,3.51389352293091,0.844029017857143,3.91430901197282,-30.7958416723216,3.09774933150183,hi,hi,43690966
0.096826,144.072698187371,-258.610022679792,-605.917474418486,0,0,0,-57.9480653855182,0,0,0.351285714285718,2.23914172359466,2.16311681278267,0.896344866071429,2.9976670281564,-37.1309862449135,3.09774933150183,hi,hi,43690966
0.1208727,137.913221708823,-268.215656301769,-437.241096437664,0,0,0,-57.9480653855182,0,0,0.395228571428575,2.26613400576978,0.819548089348175,0.913783482142857,2.03147682899855,-38.7147723880614,3.09774933150183,hi,hi,43690966
0.1371007,132.010597546096,-267.582977838968,-259.986787234529,0,0,0,-57.9480653855182,0,0,0.441500000000003,2.22858835011265,0.113165391405153,0.917271205357143,1.0652866298407,-35.0192713873828,3.09774933150183,hi,hi,43690966
0.1605774,126.712144588919,-257.768453244299,-79.8841719993916,0,0,0,-57.9480653855182,0,0,0.485457142857146,2.2246308350569,-0.740260235497461,0.917271205357143,0.421159830402139,-29.3880317673012,3.09774933150183,hi,hi,43690966
0.1774169,122.242392954596,-232.254734068318,99.573209313114,0,0,0,-57.9480653855182,0,0,0.531700000000004,2.19276776512086,-0.913972715297745,0.913783482142857,0,-23.4048396709644,3.09774933150183,hi,hi,43690966
0.2009836,118.667461428084,-210.388693149753,275.740768152221,0,0,0,-57.9480653855182,0,0,0.574371428571432,2.18464978551932,-1.53674276736182,0.910295758928571,-0.148644646024284,-16.7177426221174,3.09774933150183,hi,hi,43690966
0.2172256,115.898023624585,-175.994945032947,444.582848481653,0,0,0,-57.9480653855182,0,0,0.618328571428575,2.13330356453958,-1.47835807498078,0.9033203125,-0.222966969036427,-10.3825980495256,3.09774933150183,hi,hi,43690966
0.2412341,113.730437729502,-154.1001160438,600.138302027306,0,0,0,-57.9480653855182,0,0,0.659985714285718,2.11047174691025,-1.86038137080709,0.896344866071429,-0.297289292048569,-5.80721585820921,3.09774933150183,hi,hi,43690966
0.2576532,111.914275932354,-126.7109234765,734.390090067393,0,0,0,-57.9480653855182,0,0,0.702785714285717,2.04978984938874,-1.85677737745026,0.892857142857143,-0.322063399719282,-2.99159604816839,3.09774933150183,hi,hi,43690966
0.2817414,110.223919670169,-112.254008862625,838.842846784378,0,0,0,-57.9480653855182,0,0,0.741828571428575,2.02046364807818,-2.20780633040767,0.885881696428571,-0.396385722731425,-2.28769109565818,3.09774933150183,hi,hi,43690966
0.2978681,108.519345375947,-96.2596203153193,905.747927406426,0,0,0,-57.9480653855182,0,0,0.782571428571432,1.96272451816224,-2.00598270242395,0.875418526785714,-0.396385722731425,-1.75976238127551,3.09774933150183,hi,hi,43690966
