time_sec,tof_pos_mm_1,tof_pos_mm_2,tof_pos_mm_3,reel_radians_1,reel_radians_2,reel_radians_3,reel_lin_mm_1,reel_lin_mm_2,reel_lin_mm_3,press_psi_1,press_psi_2,press_psi_3,flow_lpm_1,flow_lpm_2,flow_lpm_3,supply_psi,fric_level,inertia_level,hash
0,148.545673856542,105.789728232036,1553.43796712779,0.0146607657167524,0.173538763078485,3.1926110907311,-7.01968879990054,0.802479235564918,22.2120829711401,0.114232142857142,1.52419096262218,8.4620850726651,0.348772321428571,5.07090299634162,21.098230580511,2.38065217032967,lo,hi,ca2e80c3
0.0159521,152.548615005475,198.454399358816,1472.1708157939,0.020943951023932,0.285828550952799,4.31209809657188,-6.97805710270054,1.43600410886093,28.7929122133499,0.152032142857142,1.64821719469837,7.03929331780034,0.474330357142857,5.53189417782722,9.45200730006894,2.38065217032967,lo,hi,ca2e80c3
0.0396411,159.2198044688,267.234231788565,1303.25296095609,0.0287979326579064,0.393014257560099,5.141347730528,-6.92601814165054,2.28067943599605,35.7842786722431,0.193674999999999,1.73875236891423,5.16574343651582,0.603376116071429,5.36205532149042,-2.70057351430541,2.38065217032967,lo,hi,ca2e80c3
0.0560441,168.361888300328,363.8926042977,1065.37488550434,0.040317105721069,0.541032614303513,6.17790977297317,-6.84969613105054,3.04085460956557,39.8955961973082,0.230760714285714,1.77462854662217,3.07165391975906,0.728934151785714,4.60991181485602,-15.359511862612,2.38065217032967,lo,hi,ca2e80c3
0.080789,179.319551466309,416.179323463298,773.456969058683,0.0523598775598299,0.66863464597887,6.88277196183588,-6.76990710820055,3.9698904178863,46.0618654854557,0.266074999999999,1.80165990489518,1.89359893905469,0.826590401785714,3.78498022693441,-27.5120926769864,2.38065217032967,lo,hi,ca2e80c3
0.0967145,191.06907129366,461.298700682379,454.995883464088,0.0701622359301721,0.857485652858398,7.91933400428104,-6.65196260896054,4.8988562368675,50.581770758253,0.301989285714285,1.79450454535233,1.27415218863739,0.87890625,2.91152325148801,-35.6138132199026,2.38065217032967,lo,hi,ca2e80c3
0.1213095,202.41734882633,465.009115354088,115.204450628153,0.0895353906273091,1.02081625340285,8.41688378465472,-6.52361659493054,6.16551774937759,57.9782615625035,0.336046428571428,1.78317522607614,0.754259380251455,0.889369419642857,1.98954088851681,-37.3016716663435,2.38065217032967,lo,hi,ca2e80c3
0.1393245,212.240147636775,429.669822225694,-241.363756605396,0.116762526958421,1.26070807295253,8.99735852842401,-6.34324855253053,7.47428530152882,61.2611542464111,0.373217857142857,1.79639276523169,0.830307530414293,0.892857142857143,1.1160839130704,-32.9132397055972,2.38065217032967,lo,hi,ca2e80c3
0.1620102,219.703186173624,381.754341238584,-612.909282094977,0.145036860840729,1.429142754764,8.74858363823717,-6.15595482617054,8.99391308914205,63.718987048577,0.409989285714285,1.83137452299677,0.654014091400399,0.892857142857143,0.412465793960801,-27.5120926769864,2.38065217032967,lo,hi,ca2e80c3
0.1787469,224.421510977658,286.378517907788,-994.799243523348,0.18168877513261,1.64861824924561,8.2510338578635,-5.91318515497053,10.260027857797,58.3639643048006,0.450003571428571,1.84717594198725,0.841369079528872,0.889369419642857,-1.58603289232165e-17,-21.7733739590874,2.38065217032967,lo,hi,ca2e80c3
